###
# timestamp: 2456148.862618
# Gaussian 1 [amp, RV +/- err, wid]: [0.88, -19.59 +/- 0.03, 3.06]
# Gaussian 2 [amp, RV +/- err, wid]: [0.13, -13.71 +/- 0.49, 18.36]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
16.5 0.00125781704895 0.014506255142
15.0 0.0013730874478 0.0168862133684
13.5 0.00121896671039 0.0195488731027
12.0 0.00105218678867 0.0225073143467
10.5 0.00108179419631 0.0257714064059
9.0 0.00124607894926 0.0293470908853
7.5 0.00144694406117 0.0332356739235
6.0 0.00160035051322 0.0374331541334
4.5 0.00172020467178 0.0419296165629
3.0 0.00175471523257 0.0467087332241
1.5 0.00201510206289 0.051747455719
0.0 0.0026802698868 0.0570161818084
-1.5 0.00341055866635 0.0624804337812
-3.0 0.00404300197618 0.0681075980479
-4.5 0.00487404592592 0.0738893519187
-6.0 0.00598128918905 0.0799068212081
-7.5 0.0071344057519 0.0864949258014
-9.0 0.0082797352702 0.0945955995591
-10.5 0.00963395532637 0.106383351012
-12.0 0.0113462255343 0.12611265734
-13.5 0.0141629766117 0.160792015246
-15.0 0.0190358527814 0.219809258034
-16.5 0.0268731831825 0.312420218092
-18.0 0.0389078185419 0.442705505293
-19.5 0.0545184927368 0.603465282291
-21.0 0.0707590496579 0.772657476587
-22.5 0.084025720391 0.916360709518
-24.0 0.0912491675911 0.999321225858
-25.5 0.0907781941626 0.999016256597
-27.0 0.0831504421751 0.915651285593
-28.5 0.0702248616602 0.772062760521
-30.0 0.0549178190798 0.603586835501
-31.5 0.0397472569397 0.443996824756
-33.0 0.0274000448796 0.31506839974
-34.5 0.019175596517 0.223752076109
-36.0 0.014420702014 0.16581639416
-37.5 0.0121553183945 0.131960620708
-39.0 0.0108690554679 0.112820034698
-40.5 0.00975826620674 0.101433172387
-42.0 0.00860606632961 0.0935887484345
-43.5 0.00763713033006 0.0871423927696
-45.0 0.00656832130772 0.0811708797648
-46.5 0.00524508534941 0.0753512989635
-48.0 0.00408755789783 0.0696117044332
-49.5 0.00316063698844 0.0639688979439
-51.0 0.00245541514648 0.0584641035291
-52.5 0.00196989247086 0.0531406907279
-54.0 0.00176043645589 0.048037305813
-55.5 0.00150815681713 0.0431859804785
-57.0 0.00122066064383 0.0386117473122
-58.5 0.00115794443141 0.0343327527733
-60.0 0.000950124222191 0.0303605959394
-61.5 0.000773647968553 0.0267008109526
-63.0 0.000654929575692 0.0233534531224
-64.5 0.000700025721718 0.0203137570522
-66.0 0.000669605336158 0.0175728376338
-67.5 0.000532284295597 0.0151184069986
-69.0 0.000339019107228 0.012935483405
-70.5 0.0002062243277 0.0110070715028
-72.0 0.000141119485208 0.00931479725128
-73.5 0.000236358742967 0.00783948474058
-75.0 0.000492517829062 0.00656166608575
-76.5 0.000694829621057 0.00546201925637
-78.0 0.000899392424006 0.00452173203683
-79.5 0.00107458613083 0.00372279319279
-81.0 0.00120384533666 0.00304821428763
-82.5 0.00130456972779 0.00248218742861
-84.0 0.00131593080384 0.00201018553339
-85.5 0.0011566849893 0.00161901252575
-87.0 0.00105544261868 0.00129681124701
-88.5 0.00105875141895 0.00103303687005
-90.0 0.00100176688533 0.000818403296503
-91.5 0.000963487698609 0.000644809477243
-93.0 0.000890743056694 0.000505251891505
-94.5 0.00074856250622 0.000393728614159
-96.0 0.000812049962087 0.000305139550737
-97.5 0.000856910026924 0.000235186571356
-99.0 0.000926278261833 0.000180276464917
-100.5 0.000815729317571 0.000137428890351
-102.0 0.000658168684966 0.000104190840275
-103.5 0.000508219148765 7.85585638307e-05
-105.0 0.000349232141169 5.89074229886e-05
-106.5 0.000425964485325 4.3929777855e-05
-108.0 0.000362089215551 3.25807054951e-05
-109.5 0.000315815585536 2.40311445266e-05
-111.0 0.000269572335438 1.76279139001e-05
-112.5 8.18765306192e-05 1.28599677652e-05
-114.0 -6.38386984456e-05 9.33020816749e-06
-115.5 2.11236018822e-05 6.73217320609e-06
-117.0 -7.93415049865e-06 4.83094087972e-06
-118.5 3.86941421626e-06 3.44763005823e-06
-120.0 0.000123024693745 2.44693305819e-06
-121.5 0.000176115540754 1.72717368413e-06
-123.0 0.000166081283202 1.21244607064e-06
-124.5 0.000116506004454 8.46450064742e-07
-126.0 0.0 5.8769601895e-07
-127.5 0.0 4.05804304277e-07
###
# timestamp: 2456149.872712
# Gaussian 1 [amp, RV +/- err, wid]: [0.88, -19.59 +/- 0.03, 3.06]
# Gaussian 2 [amp, RV +/- err, wid]: [0.13, -13.71 +/- 0.49, 18.36]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
127.5 0.0 2.90742164948e-16
126.0 0.0 5.82073281072e-16
124.5 0.000644058508323 1.15699891925e-15
123.0 0.000537370904557 2.28335736122e-15
121.5 0.000230315003908 4.4740462079e-15
120.0 0.000145797140608 8.70387585743e-15
118.5 0.000119321931145 1.68116583528e-14
117.0 0.000110441192617 3.22399283457e-14
