###
# timestamp: 2456366.9238749
# Gaussian 1 [amp, RV +/- err, wid]: [0.83, -37.45 +/- 0.04, 6.54]
# Gaussian 2 [amp, RV +/- err, wid]: [0.17, -25.00 +/- 0.00, 40.00]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
-24.0 0.0355268119355 0.660454314569
-25.5 0.0417409899858 0.771887234701
-27.0 0.0477616462123 0.872527223976
-28.5 0.0526446094211 0.949896901541
-30.0 0.0560167315134 0.993396963351
-31.5 0.0572190103589 0.996671291912
-33.0 0.0562807103219 0.959107574236
-34.5 0.0519794691146 0.88598557146
-36.0 0.0459043746648 0.787223880231
-37.5 0.0390853881028 0.675135340287
-39.0 0.0314160623753 0.561890702107
-40.5 0.0230338193304 0.4574039238
-42.0 0.0164427658574 0.368115264458
-43.5 0.0122846772737 0.296789593847
-45.0 0.00915591015407 0.243125363708
-46.5 0.00667639118184 0.204794462962
-48.0 0.00544117382562 0.17852865695
-49.5 0.00482041810165 0.160984761832
-51.0 0.00394073348837 0.149277768663
-52.5 0.00349101833663 0.141201224223
-54.0 0.00244359951793 0.135225213587
-55.5 0.0011816047339 0.130376458282
-57.0 0.00020883376042 0.126083525093
-58.5 -0.000276785042607 0.122036569421
-60.0 -0.000661944383868 0.118081568813
-61.5 -0.000942802334391 0.114150172386
-63.0 -0.000885229906048 0.110217713835
-64.5 -0.00117440563124 0.106280203999
-66.0 -0.00149452101387 0.102342679736
-67.5 -0.000665365359016 0.09841371171
-69.0 -0.000105941063142 0.0945029770667
-70.5 2.16929568498e-05 0.0906202433749
-72.0 0.00034989125534 0.0867749581708
-73.5 -0.000214310465477 0.0829760828472
-75.0 -0.00157826368181 0.0792320208288
-76.5 -0.00188365467811 0.0755505820183
-78.0 -0.00116461571823 0.0719389625207
-79.5 -0.00142783907758 0.068403732479
-81.0 -0.00206311525388 0.0649508296373
-82.5 -0.00187252098155 0.0615855577847
-84.0 -0.00112899068515 0.0583125896786
-85.5 -0.000803365796637 0.0551359741499
-87.0 -0.000641811510585 0.0520591471047
-88.5 -0.000720555194471 0.0490849461222
-90.0 -0.000633503949132 0.0462156283335
-91.5 6.46195128529e-05 0.0434528912501
-93.0 0.000132010581326 0.040797896206
-94.5 -0.000469822094618 0.0382512940664
-96.0 -0.000492955620489 0.0358132528593
-97.5 -0.00091889131238 0.0334834869857
-99.0 -0.0020707840891 0.0312612876731
-100.5 -0.00260735135641 0.0291455543433
-102.0 -0.00198328525131 0.0271348265804
-103.5 -0.00211647316615 0.0252273163986
-105.0 -0.0026930094954 0.023420940527
-106.5 -0.00253765689981 0.0217133524481
-108.0 -0.00272516345637 0.0201019739458
-109.5 -0.00272165319011 0.0185840259439
-111.0 -0.00255430345864 0.0171565584343
-112.5 -0.00226518676884 0.0158164793212
-114.0 -0.00258559098839 0.0145605820292
-115.5 -0.00332204072468 0.0133855717462
-117.0 -0.00303927223235 0.0122880901954
-118.5 -0.00206598640766 0.0112647388535
-120.0 -0.00144552311172 0.0103121005514
-121.5 -0.00161240703161 0.00942675941743
-123.0 -0.0020203282639 0.00860531913816
-124.5 -0.00314345811302 0.00784441953319
-126.0 0.0 0.00714075145422
-127.5 0.0 0.0064910700347
###
# timestamp: 2456770.8969092
# Gaussian 1 [amp, RV +/- err, wid]: [0.83, -37.45 +/- 0.04, 6.54]
# Gaussian 2 [amp, RV +/- err, wid]: [0.17, -25.00 +/- 0.00, 40.00]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
127.5 0.0 0.000119880373275
126.0 0.0 0.000138208025486
124.5 -1.23721453743e-05 0.00015911375015
123.0 0.000598858375984 0.000182924313742
121.5 0.00125760066833 0.000210002483363
120.0 0.00160359037067 0.000240750224019
118.5 0.00166049271057 0.000275612076242
117.0 0.00175289907607 0.000315078710175
115.5 0.00169051272549 0.000359690649894
114.0 0.00127352666806 0.000410042158977
112.5 0.000670301363892 0.000466785275386
111.0 0.000423031078536 0.000530633980436
109.5 0.000287043583137 0.000602368483075
108.0 -0.000236181424987 0.0006828395969
106.5 -0.00089237336259 0.000772973183237
105.0 -0.00153181005933 0.000873774629294
103.5 -0.00183127339276 0.000986333325888
102.0 -0.00216723255506 0.00111182710453
100.5 -0.00242308807534 0.00125152658879
99.0 -0.00206132246782 0.00140679940997
97.5 -0.00137863216984 0.00157911423204
96.0 -0.00119405055545 0.001770044526
94.5 -0.000797634432767 0.00198127202877
93.0 -0.000340711042111 0.00221458981712
91.5 -0.000194516126051 0.00247190492279
90.0 -0.000704328537653 0.00275524041068
88.5 -0.00117707971381 0.00306673683837
87.0 -0.00140023061109 0.0034086530123
85.5 -0.00116141663966 0.00378336595316
84.0 -0.00142864669821 0.00419336998154
82.5 -0.00164920867281 0.00464127483397
81.0 -0.00162528999143 0.00512980271948
79.5 -0.00173700391231 0.00566178422819
78.0 -0.00191059439029 0.00624015300556
76.5 -0.00213013866749 0.00686793910973
